BL_Number,Truck_Appointment_Date,Site,Product_Group,Product_Code,Unit_Freight,Carrier_ID,pallet_count,pick_weight
W61A799,2026-02-09,AMJK,SW,HLP170450450L217-48,2.92,DRAKE-AM,6,8064
W61A807,2026-02-06,AMJK,SW,EHB0631975000AM-50,8,GILTNER-AM,1,1241
W61A807,2026-02-06,AMJK,SW,EHB0631977500AM-40,8,GILTNER-AM,1,1489
W61A807,2026-02-06,AMJK,SW,ELB0401979000AM-40,8,GILTNER-AM,1,1135
W61A807,2026-02-06,AMJK,SW,ETL0802005000AM-40,8,GILTNER-AM,4,5120
W61A807,2026-02-06,AMJK,SW,HCB0801201500AM-60,8,GILTNER-AM,2,2764
W61A807,2026-02-06,AMJK,SW,HLP115400450AM-64,8,GILTNER-AM,7,7476
W61A807,2026-02-06,AMJK,SW,HLP115450450AM-64,8,GILTNER-AM,3,3612
W61A807,2026-02-06,AMJK,SW,HSB0671801500AM-64,8,GILTNER-AM,3,5556
W61A807,2026-02-06,AMJK,SW,HTG0801801500AM-48,8,GILTNER-AM,1,1659
W61A807,2026-02-06,AMJK,SW,HTL0801801500AM-48,8,GILTNER-AM,3,4977
W61A807,2026-02-06,AMJK,SW,HTR0801801500AM-48,8,GILTNER-AM,1,1659
W61A809,2026-01-23,AMJK,SW,ELB0602004208A372-60,30.17,CWF-IP,3,3636
W61A810,2026-01-29,AMJK,SW,CLS0301501968AM-144P,9.04,GILTNER-AM,1,510
W61A810,2026-01-29,AMJK,SW,EHB0631975000AM-50,9.04,GILTNER-AM,3,3723
W61A810,2026-01-29,AMJK,SW,EPB0801975000AM-40,9.04,GILTNER-AM,3,3783
W61A810,2026-01-29,AMJK,SW,EPB0802955000AM-20,9.04,GILTNER-AM,4,3776
W61A810,2026-01-29,AMJK,SW,HCB0701801500AM-64,9.04,GILTNER-AM,10,19350
W61A810,2026-01-29,AMJK,SW,HCB1201801000AM-48,9.04,GILTNER-AM,1,1659
W61A810,2026-01-29,AMJK,SW,HLP140400450AM-64,9.04,GILTNER-AM,1,1305
W61A810,2026-01-29,AMJK,SW,HSB0631601500AM-64,9.04,GILTNER-AM,1,1548
W61A810,2026-01-29,AMJK,SW,HTK0801801500AM-48,9.04,GILTNER-AM,1,1659
W61A811,2026-01-23,AMJK,SW,ETK0802005000AM-40,15.46,SAIA-IP,2,2560
W61A812,2026-01-27,AMJK,SW,ELB0511979000AM-40,10.84,SAIA-IP,3,4341
W61A813,2026-02-04,AMJK,SW,EHB0801975000AM-40,29.08,SAIA-IP,1,1261
